model,cipher,topic,true_key,predicted_key,correct_rank,correct,top1_score
FrequencyModel,caesar,Abraham_Lincoln,1,1,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,2,2,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,3,3,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,4,4,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,5,5,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,6,6,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,7,7,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,8,8,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,9,9,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,10,10,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,11,11,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,12,12,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,13,13,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,14,14,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,15,15,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,16,16,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,17,17,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,18,18,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,19,19,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,20,20,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,21,21,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,22,22,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,23,23,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,24,24,1,True,-2.8781
FrequencyModel,caesar,Abraham_Lincoln,25,25,1,True,-2.8781
FrequencyModel,caesar,AES_encryption,1,1,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,2,2,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,3,3,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,4,4,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,5,5,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,6,6,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,7,7,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,8,8,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,9,9,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,10,10,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,11,11,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,12,12,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,13,13,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,14,14,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,15,15,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,16,16,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,17,17,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,18,18,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,19,19,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,20,20,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,21,21,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,22,22,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,23,23,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,24,24,1,True,-2.936666
FrequencyModel,caesar,AES_encryption,25,25,1,True,-2.936666
FrequencyModel,caesar,Alan_Turing,1,1,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,2,2,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,3,3,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,4,4,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,5,5,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,6,6,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,7,7,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,8,8,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,9,9,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,10,10,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,11,11,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,12,12,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,13,13,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,14,14,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,15,15,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,16,16,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,17,17,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,18,18,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,19,19,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,20,20,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,21,21,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,22,22,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,23,23,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,24,24,1,True,-2.911137
FrequencyModel,caesar,Alan_Turing,25,25,1,True,-2.911137
FrequencyModel,caesar,Ancient_China,1,1,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,2,2,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,3,3,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,4,4,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,5,5,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,6,6,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,7,7,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,8,8,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,9,9,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,10,10,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,11,11,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,12,12,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,13,13,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,14,14,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,15,15,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,16,16,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,17,17,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,18,18,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,19,19,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,20,20,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,21,21,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,22,22,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,23,23,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,24,24,1,True,-2.899756
FrequencyModel,caesar,Ancient_China,25,25,1,True,-2.899756
FrequencyModel,caesar,animal_farm,1,1,1,True,-2.912814
FrequencyModel,caesar,animal_farm,2,2,1,True,-2.912814
FrequencyModel,caesar,animal_farm,3,3,1,True,-2.912814
FrequencyModel,caesar,animal_farm,4,4,1,True,-2.912814
FrequencyModel,caesar,animal_farm,5,5,1,True,-2.912814
FrequencyModel,caesar,animal_farm,6,6,1,True,-2.912814
FrequencyModel,caesar,animal_farm,7,7,1,True,-2.912814
FrequencyModel,caesar,animal_farm,8,8,1,True,-2.912814
FrequencyModel,caesar,animal_farm,9,9,1,True,-2.912814
FrequencyModel,caesar,animal_farm,10,10,1,True,-2.912814
FrequencyModel,caesar,animal_farm,11,11,1,True,-2.912814
FrequencyModel,caesar,animal_farm,12,12,1,True,-2.912814
FrequencyModel,caesar,animal_farm,13,13,1,True,-2.912814
FrequencyModel,caesar,animal_farm,14,14,1,True,-2.912814
FrequencyModel,caesar,animal_farm,15,15,1,True,-2.912814
FrequencyModel,caesar,animal_farm,16,16,1,True,-2.912814
FrequencyModel,caesar,animal_farm,17,17,1,True,-2.912814
FrequencyModel,caesar,animal_farm,18,18,1,True,-2.912814
FrequencyModel,caesar,animal_farm,19,19,1,True,-2.912814
FrequencyModel,caesar,animal_farm,20,20,1,True,-2.912814
FrequencyModel,caesar,animal_farm,21,21,1,True,-2.912814
FrequencyModel,caesar,animal_farm,22,22,1,True,-2.912814
FrequencyModel,caesar,animal_farm,23,23,1,True,-2.912814
FrequencyModel,caesar,animal_farm,24,24,1,True,-2.912814
FrequencyModel,caesar,animal_farm,25,25,1,True,-2.912814
FrequencyModel,caesar,Asia,1,1,1,True,-2.859722
FrequencyModel,caesar,Asia,2,2,1,True,-2.859722
FrequencyModel,caesar,Asia,3,3,1,True,-2.859722
FrequencyModel,caesar,Asia,4,4,1,True,-2.859722
FrequencyModel,caesar,Asia,5,5,1,True,-2.859722
FrequencyModel,caesar,Asia,6,6,1,True,-2.859722
FrequencyModel,caesar,Asia,7,7,1,True,-2.859722
FrequencyModel,caesar,Asia,8,8,1,True,-2.859722
FrequencyModel,caesar,Asia,9,9,1,True,-2.859722
FrequencyModel,caesar,Asia,10,10,1,True,-2.859722
FrequencyModel,caesar,Asia,11,11,1,True,-2.859722
FrequencyModel,caesar,Asia,12,12,1,True,-2.859722
FrequencyModel,caesar,Asia,13,13,1,True,-2.859722
FrequencyModel,caesar,Asia,14,14,1,True,-2.859722
FrequencyModel,caesar,Asia,15,15,1,True,-2.859722
FrequencyModel,caesar,Asia,16,16,1,True,-2.859722
FrequencyModel,caesar,Asia,17,17,1,True,-2.859722
FrequencyModel,caesar,Asia,18,18,1,True,-2.859722
FrequencyModel,caesar,Asia,19,19,1,True,-2.859722
FrequencyModel,caesar,Asia,20,20,1,True,-2.859722
FrequencyModel,caesar,Asia,21,21,1,True,-2.859722
FrequencyModel,caesar,Asia,22,22,1,True,-2.859722
FrequencyModel,caesar,Asia,23,23,1,True,-2.859722
FrequencyModel,caesar,Asia,24,24,1,True,-2.859722
FrequencyModel,caesar,Asia,25,25,1,True,-2.859722
FrequencyModel,caesar,Australia,1,1,1,True,-2.853249
FrequencyModel,caesar,Australia,2,2,1,True,-2.853249
FrequencyModel,caesar,Australia,3,3,1,True,-2.853249
FrequencyModel,caesar,Australia,4,4,1,True,-2.853249
FrequencyModel,caesar,Australia,5,5,1,True,-2.853249
FrequencyModel,caesar,Australia,6,6,1,True,-2.853249
FrequencyModel,caesar,Australia,7,7,1,True,-2.853249
FrequencyModel,caesar,Australia,8,8,1,True,-2.853249
FrequencyModel,caesar,Australia,9,9,1,True,-2.853249
FrequencyModel,caesar,Australia,10,10,1,True,-2.853249
FrequencyModel,caesar,Australia,11,11,1,True,-2.853249
FrequencyModel,caesar,Australia,12,12,1,True,-2.853249
FrequencyModel,caesar,Australia,13,13,1,True,-2.853249
FrequencyModel,caesar,Australia,14,14,1,True,-2.853249
FrequencyModel,caesar,Australia,15,15,1,True,-2.853249
FrequencyModel,caesar,Australia,16,16,1,True,-2.853249
FrequencyModel,caesar,Australia,17,17,1,True,-2.853249
FrequencyModel,caesar,Australia,18,18,1,True,-2.853249
FrequencyModel,caesar,Australia,19,19,1,True,-2.853249
FrequencyModel,caesar,Australia,20,20,1,True,-2.853249
FrequencyModel,caesar,Australia,21,21,1,True,-2.853249
FrequencyModel,caesar,Australia,22,22,1,True,-2.853249
FrequencyModel,caesar,Australia,23,23,1,True,-2.853249
FrequencyModel,caesar,Australia,24,24,1,True,-2.853249
FrequencyModel,caesar,Australia,25,25,1,True,-2.853249
FrequencyModel,caesar,Byzantium,1,1,1,True,-2.910009
FrequencyModel,caesar,Byzantium,2,2,1,True,-2.910009
FrequencyModel,caesar,Byzantium,3,3,1,True,-2.910009
FrequencyModel,caesar,Byzantium,4,4,1,True,-2.910009
FrequencyModel,caesar,Byzantium,5,5,1,True,-2.910009
FrequencyModel,caesar,Byzantium,6,6,1,True,-2.910009
FrequencyModel,caesar,Byzantium,7,7,1,True,-2.910009
FrequencyModel,caesar,Byzantium,8,8,1,True,-2.910009
FrequencyModel,caesar,Byzantium,9,9,1,True,-2.910009
FrequencyModel,caesar,Byzantium,10,10,1,True,-2.910009
FrequencyModel,caesar,Byzantium,11,11,1,True,-2.910009
FrequencyModel,caesar,Byzantium,12,12,1,True,-2.910009
FrequencyModel,caesar,Byzantium,13,13,1,True,-2.910009
FrequencyModel,caesar,Byzantium,14,14,1,True,-2.910009
FrequencyModel,caesar,Byzantium,15,15,1,True,-2.910009
FrequencyModel,caesar,Byzantium,16,16,1,True,-2.910009
FrequencyModel,caesar,Byzantium,17,17,1,True,-2.910009
FrequencyModel,caesar,Byzantium,18,18,1,True,-2.910009
FrequencyModel,caesar,Byzantium,19,19,1,True,-2.910009
FrequencyModel,caesar,Byzantium,20,20,1,True,-2.910009
FrequencyModel,caesar,Byzantium,21,21,1,True,-2.910009
FrequencyModel,caesar,Byzantium,22,22,1,True,-2.910009
FrequencyModel,caesar,Byzantium,23,23,1,True,-2.910009
FrequencyModel,caesar,Byzantium,24,24,1,True,-2.910009
FrequencyModel,caesar,Byzantium,25,25,1,True,-2.910009
FrequencyModel,caesar,Canberra,1,1,1,True,-2.883626
FrequencyModel,caesar,Canberra,2,2,1,True,-2.883626
FrequencyModel,caesar,Canberra,3,3,1,True,-2.883626
FrequencyModel,caesar,Canberra,4,4,1,True,-2.883626
FrequencyModel,caesar,Canberra,5,5,1,True,-2.883626
FrequencyModel,caesar,Canberra,6,6,1,True,-2.883626
FrequencyModel,caesar,Canberra,7,7,1,True,-2.883626
FrequencyModel,caesar,Canberra,8,8,1,True,-2.883626
FrequencyModel,caesar,Canberra,9,9,1,True,-2.883626
FrequencyModel,caesar,Canberra,10,10,1,True,-2.883626
FrequencyModel,caesar,Canberra,11,11,1,True,-2.883626
FrequencyModel,caesar,Canberra,12,12,1,True,-2.883626
FrequencyModel,caesar,Canberra,13,13,1,True,-2.883626
FrequencyModel,caesar,Canberra,14,14,1,True,-2.883626
FrequencyModel,caesar,Canberra,15,15,1,True,-2.883626
FrequencyModel,caesar,Canberra,16,16,1,True,-2.883626
FrequencyModel,caesar,Canberra,17,17,1,True,-2.883626
FrequencyModel,caesar,Canberra,18,18,1,True,-2.883626
FrequencyModel,caesar,Canberra,19,19,1,True,-2.883626
FrequencyModel,caesar,Canberra,20,20,1,True,-2.883626
FrequencyModel,caesar,Canberra,21,21,1,True,-2.883626
FrequencyModel,caesar,Canberra,22,22,1,True,-2.883626
FrequencyModel,caesar,Canberra,23,23,1,True,-2.883626
FrequencyModel,caesar,Canberra,24,24,1,True,-2.883626
FrequencyModel,caesar,Canberra,25,25,1,True,-2.883626
FrequencyModel,caesar,CERN,1,1,1,True,-2.862541
FrequencyModel,caesar,CERN,2,2,1,True,-2.862541
FrequencyModel,caesar,CERN,3,3,1,True,-2.862541
FrequencyModel,caesar,CERN,4,4,1,True,-2.862541
FrequencyModel,caesar,CERN,5,5,1,True,-2.862541
FrequencyModel,caesar,CERN,6,6,1,True,-2.862541
FrequencyModel,caesar,CERN,7,7,1,True,-2.862541
FrequencyModel,caesar,CERN,8,8,1,True,-2.862541
FrequencyModel,caesar,CERN,9,9,1,True,-2.862541
FrequencyModel,caesar,CERN,10,10,1,True,-2.862541
FrequencyModel,caesar,CERN,11,11,1,True,-2.862541
FrequencyModel,caesar,CERN,12,12,1,True,-2.862541
FrequencyModel,caesar,CERN,13,13,1,True,-2.862541
FrequencyModel,caesar,CERN,14,14,1,True,-2.862541
FrequencyModel,caesar,CERN,15,15,1,True,-2.862541
FrequencyModel,caesar,CERN,16,16,1,True,-2.862541
FrequencyModel,caesar,CERN,17,17,1,True,-2.862541
FrequencyModel,caesar,CERN,18,18,1,True,-2.862541
FrequencyModel,caesar,CERN,19,19,1,True,-2.862541
FrequencyModel,caesar,CERN,20,20,1,True,-2.862541
FrequencyModel,caesar,CERN,21,21,1,True,-2.862541
FrequencyModel,caesar,CERN,22,22,1,True,-2.862541
FrequencyModel,caesar,CERN,23,23,1,True,-2.862541
FrequencyModel,caesar,CERN,24,24,1,True,-2.862541
FrequencyModel,caesar,CERN,25,25,1,True,-2.862541
FrequencyModel,caesar,Cinema,1,1,1,True,-2.915324
FrequencyModel,caesar,Cinema,2,2,1,True,-2.915324
FrequencyModel,caesar,Cinema,3,3,1,True,-2.915324
FrequencyModel,caesar,Cinema,4,4,1,True,-2.915324
FrequencyModel,caesar,Cinema,5,5,1,True,-2.915324
FrequencyModel,caesar,Cinema,6,6,1,True,-2.915324
FrequencyModel,caesar,Cinema,7,7,1,True,-2.915324
FrequencyModel,caesar,Cinema,8,8,1,True,-2.915324
FrequencyModel,caesar,Cinema,9,9,1,True,-2.915324
FrequencyModel,caesar,Cinema,10,10,1,True,-2.915324
FrequencyModel,caesar,Cinema,11,11,1,True,-2.915324
FrequencyModel,caesar,Cinema,12,12,1,True,-2.915324
FrequencyModel,caesar,Cinema,13,13,1,True,-2.915324
FrequencyModel,caesar,Cinema,14,14,1,True,-2.915324
FrequencyModel,caesar,Cinema,15,15,1,True,-2.915324
FrequencyModel,caesar,Cinema,16,16,1,True,-2.915324
FrequencyModel,caesar,Cinema,17,17,1,True,-2.915324
FrequencyModel,caesar,Cinema,18,18,1,True,-2.915324
FrequencyModel,caesar,Cinema,19,19,1,True,-2.915324
FrequencyModel,caesar,Cinema,20,20,1,True,-2.915324
FrequencyModel,caesar,Cinema,21,21,1,True,-2.915324
FrequencyModel,caesar,Cinema,22,22,1,True,-2.915324
FrequencyModel,caesar,Cinema,23,23,1,True,-2.915324
FrequencyModel,caesar,Cinema,24,24,1,True,-2.915324
FrequencyModel,caesar,Cinema,25,25,1,True,-2.915324
FrequencyModel,caesar,Cipher,1,1,1,True,-2.925449
FrequencyModel,caesar,Cipher,2,2,1,True,-2.925449
FrequencyModel,caesar,Cipher,3,3,1,True,-2.925449
FrequencyModel,caesar,Cipher,4,4,1,True,-2.925449
FrequencyModel,caesar,Cipher,5,5,1,True,-2.925449
FrequencyModel,caesar,Cipher,6,6,1,True,-2.925449
FrequencyModel,caesar,Cipher,7,7,1,True,-2.925449
FrequencyModel,caesar,Cipher,8,8,1,True,-2.925449
FrequencyModel,caesar,Cipher,9,9,1,True,-2.925449
FrequencyModel,caesar,Cipher,10,10,1,True,-2.925449
FrequencyModel,caesar,Cipher,11,11,1,True,-2.925449
FrequencyModel,caesar,Cipher,12,12,1,True,-2.925449
FrequencyModel,caesar,Cipher,13,13,1,True,-2.925449
FrequencyModel,caesar,Cipher,14,14,1,True,-2.925449
FrequencyModel,caesar,Cipher,15,15,1,True,-2.925449
FrequencyModel,caesar,Cipher,16,16,1,True,-2.925449
FrequencyModel,caesar,Cipher,17,17,1,True,-2.925449
FrequencyModel,caesar,Cipher,18,18,1,True,-2.925449
FrequencyModel,caesar,Cipher,19,19,1,True,-2.925449
FrequencyModel,caesar,Cipher,20,20,1,True,-2.925449
FrequencyModel,caesar,Cipher,21,21,1,True,-2.925449
FrequencyModel,caesar,Cipher,22,22,1,True,-2.925449
FrequencyModel,caesar,Cipher,23,23,1,True,-2.925449
FrequencyModel,caesar,Cipher,24,24,1,True,-2.925449
FrequencyModel,caesar,Cipher,25,25,1,True,-2.925449
FrequencyModel,caesar,Claude_Shannon,1,1,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,2,2,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,3,3,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,4,4,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,5,5,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,6,6,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,7,7,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,8,8,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,9,9,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,10,10,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,11,11,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,12,12,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,13,13,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,14,14,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,15,15,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,16,16,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,17,17,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,18,18,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,19,19,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,20,20,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,21,21,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,22,22,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,23,23,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,24,24,1,True,-2.883379
FrequencyModel,caesar,Claude_Shannon,25,25,1,True,-2.883379
FrequencyModel,caesar,Code,1,1,1,True,-2.887029
FrequencyModel,caesar,Code,2,2,1,True,-2.887029
FrequencyModel,caesar,Code,3,3,1,True,-2.887029
FrequencyModel,caesar,Code,4,4,1,True,-2.887029
FrequencyModel,caesar,Code,5,5,1,True,-2.887029
FrequencyModel,caesar,Code,6,6,1,True,-2.887029
FrequencyModel,caesar,Code,7,7,1,True,-2.887029
FrequencyModel,caesar,Code,8,8,1,True,-2.887029
FrequencyModel,caesar,Code,9,9,1,True,-2.887029
FrequencyModel,caesar,Code,10,10,1,True,-2.887029
FrequencyModel,caesar,Code,11,11,1,True,-2.887029
FrequencyModel,caesar,Code,12,12,1,True,-2.887029
FrequencyModel,caesar,Code,13,13,1,True,-2.887029
FrequencyModel,caesar,Code,14,14,1,True,-2.887029
FrequencyModel,caesar,Code,15,15,1,True,-2.887029
FrequencyModel,caesar,Code,16,16,1,True,-2.887029
FrequencyModel,caesar,Code,17,17,1,True,-2.887029
FrequencyModel,caesar,Code,18,18,1,True,-2.887029
FrequencyModel,caesar,Code,19,19,1,True,-2.887029
FrequencyModel,caesar,Code,20,20,1,True,-2.887029
FrequencyModel,caesar,Code,21,21,1,True,-2.887029
FrequencyModel,caesar,Code,22,22,1,True,-2.887029
FrequencyModel,caesar,Code,23,23,1,True,-2.887029
FrequencyModel,caesar,Code,24,24,1,True,-2.887029
FrequencyModel,caesar,Code,25,25,1,True,-2.887029
FrequencyModel,caesar,Computer,1,1,1,True,-2.903669
FrequencyModel,caesar,Computer,2,2,1,True,-2.903669
FrequencyModel,caesar,Computer,3,3,1,True,-2.903669
FrequencyModel,caesar,Computer,4,4,1,True,-2.903669
FrequencyModel,caesar,Computer,5,5,1,True,-2.903669
FrequencyModel,caesar,Computer,6,6,1,True,-2.903669
FrequencyModel,caesar,Computer,7,7,1,True,-2.903669
FrequencyModel,caesar,Computer,8,8,1,True,-2.903669
FrequencyModel,caesar,Computer,9,9,1,True,-2.903669
FrequencyModel,caesar,Computer,10,10,1,True,-2.903669
FrequencyModel,caesar,Computer,11,11,1,True,-2.903669
FrequencyModel,caesar,Computer,12,12,1,True,-2.903669
FrequencyModel,caesar,Computer,13,13,1,True,-2.903669
FrequencyModel,caesar,Computer,14,14,1,True,-2.903669
FrequencyModel,caesar,Computer,15,15,1,True,-2.903669
FrequencyModel,caesar,Computer,16,16,1,True,-2.903669
FrequencyModel,caesar,Computer,17,17,1,True,-2.903669
FrequencyModel,caesar,Computer,18,18,1,True,-2.903669
FrequencyModel,caesar,Computer,19,19,1,True,-2.903669
FrequencyModel,caesar,Computer,20,20,1,True,-2.903669
FrequencyModel,caesar,Computer,21,21,1,True,-2.903669
FrequencyModel,caesar,Computer,22,22,1,True,-2.903669
FrequencyModel,caesar,Computer,23,23,1,True,-2.903669
FrequencyModel,caesar,Computer,24,24,1,True,-2.903669
FrequencyModel,caesar,Computer,25,25,1,True,-2.903669
FrequencyModel,caesar,Corpus_linguistics,1,1,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,2,2,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,3,3,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,4,4,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,5,5,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,6,6,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,7,7,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,8,8,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,9,9,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,10,10,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,11,11,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,12,12,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,13,13,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,14,14,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,15,15,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,16,16,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,17,17,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,18,18,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,19,19,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,20,20,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,21,21,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,22,22,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,23,23,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,24,24,1,True,-2.909899
FrequencyModel,caesar,Corpus_linguistics,25,25,1,True,-2.909899
FrequencyModel,caesar,Cryptanalysis,1,1,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,2,2,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,3,3,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,4,4,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,5,5,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,6,6,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,7,7,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,8,8,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,9,9,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,10,10,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,11,11,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,12,12,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,13,13,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,14,14,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,15,15,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,16,16,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,17,17,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,18,18,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,19,19,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,20,20,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,21,21,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,22,22,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,23,23,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,24,24,1,True,-2.934734
FrequencyModel,caesar,Cryptanalysis,25,25,1,True,-2.934734
FrequencyModel,caesar,Cryptography,1,1,1,True,-2.925198
FrequencyModel,caesar,Cryptography,2,2,1,True,-2.925198
FrequencyModel,caesar,Cryptography,3,3,1,True,-2.925198
FrequencyModel,caesar,Cryptography,4,4,1,True,-2.925198
FrequencyModel,caesar,Cryptography,5,5,1,True,-2.925198
FrequencyModel,caesar,Cryptography,6,6,1,True,-2.925198
FrequencyModel,caesar,Cryptography,7,7,1,True,-2.925198
